epoch,train_loss,test_acc@1,test_acc@5
437,0.6926012500738487,81.47999999999999,99.29
438,0.6851387109511938,81.08,99.26
439,0.6946522841850916,81.23,99.27
440,0.6925665968503707,81.87,99.31
441,0.6945544122885435,81.74,99.19
442,0.6934988401639156,81.66,99.21
443,0.6943617246089837,81.04,99.28
444,0.6882363520371608,81.14,99.13
445,0.6868207233838546,81.39999999999999,99.21
446,0.6894489023165825,81.63,99.21
447,0.6897485035352218,81.31,99.22999999999999
448,0.6871581625479918,80.97,99.24
449,0.6851226340501736,81.36,99.22
450,0.687865626735565,81.63,99.24
451,0.6796137729516396,81.45,99.22
452,0.686293966953571,81.49,99.27
453,0.6838139048753641,81.33,99.22
454,0.6857909021469263,81.19,99.25
455,0.6874095453665807,81.16,99.15
456,0.6930100629727046,81.44,99.22999999999999
457,0.6835380849165794,81.52000000000001,99.31
458,0.6900635305887614,81.34,99.27
459,0.689426171932465,81.36,99.14
460,0.6909727121774967,81.15,99.2
461,0.6817769727645776,81.17,99.11999999999999
462,0.6863364967780236,81.63,99.22999999999999
463,0.6841114976467231,81.49,99.22999999999999
464,0.6709992251335046,80.88,99.2
465,0.6818201891886883,81.58,99.17
466,0.687120500818277,81.56,99.29
467,0.6837427210349303,81.45,99.26
468,0.6828206019523816,81.61,99.33
469,0.6794046107010964,81.49,99.32
470,0.6768355834942598,81.95,99.33999999999999
471,0.6930513074000676,81.69999999999999,99.38
472,0.6766115709757193,81.97,99.25
473,0.6897886652977039,81.64,99.22
474,0.6727638344734143,81.83,99.3
475,0.6785940420933259,81.58,99.28
476,0.6745234279296337,81.86,99.26
477,0.6818530009343073,81.5,99.31
478,0.6682943616157923,81.46,99.24
479,0.6805187809161651,82.04,99.26
480,0.6855771256562991,82.36,99.33999999999999
481,0.6725162043021276,81.58999999999999,99.19
482,0.6729145447413126,81.84,99.33999999999999
483,0.6760560055573781,82.55,99.29
484,0.6817382279879007,81.81,99.29
485,0.6865864963103563,81.87,99.25
486,0.6684178777994254,81.74,99.25
487,0.668129969560183,82.09,99.33
488,0.6788516798844704,81.58999999999999,99.33999999999999
489,0.6745632230471342,82.41000000000001,99.3
490,0.6763089753878422,81.99,99.3
491,0.6748564292223026,81.77,99.33999999999999
492,0.6760839315561148,82.22,99.32
493,0.6722507377465566,81.92,99.44
494,0.6803754136348382,82.19,99.35000000000001
495,0.677819393384151,82.0,99.28
496,0.675820701320966,81.37,99.3
497,0.6689777697508151,82.0,99.29
498,0.6810359514676607,82.15,99.26
499,0.6770741182260024,81.66,99.32
500,0.661765291981208,82.22,99.4
