,train_loss,test_acc@1,test_acc@5
139,1.1790240024908996,69.86,98.02
140,1.1763348204967303,70.24000000000001,97.99
141,1.172724987910344,69.82000000000001,98.24000000000001
142,1.18167853309558,69.48,98.03
143,1.1768485593490112,69.74000000000001,98.21
144,1.1716546303186661,69.72,98.09
145,1.1746516417234372,69.77,97.95
146,1.1570062180360159,70.05,98.17
147,1.162776619195938,70.42,97.89
148,1.164431893519866,70.23,98.1
149,1.1659022878377865,71.07,98.29
150,1.1626903031116878,70.45,98.16
151,1.150124592353136,70.69,98.26
152,1.151447974718534,70.35,98.26
153,1.1533737278901615,71.11,98.28
154,1.148480957440841,71.11,98.16
155,1.1451096233649132,70.96000000000001,98.06
156,1.135183704816378,70.96000000000001,98.09
157,1.152860170755631,70.63000000000001,98.14
158,1.1384740889072418,70.95,98.14
159,1.1396310933125324,71.22,98.4
160,1.1356224228174259,70.89,98.32
161,1.1317870216491894,70.86,98.1
162,1.1360861686559824,70.97,98.2
163,1.1292880064401871,71.49,98.17
164,1.1276588872457163,70.97,98.17
165,1.131733882580048,70.98,98.34
166,1.1302835025848486,71.67999999999999,98.28
167,1.1187077407653516,71.2,98.19
168,1.1216758682177617,71.28999999999999,98.42999999999999
169,1.1091174981532952,71.88,98.22999999999999
170,1.1332458986685827,71.75,98.28
171,1.1142614425756991,72.19,98.17
172,1.1109373117104555,71.78999999999999,98.26
173,1.1042355991326847,71.98,98.34
174,1.107061350192779,71.74000000000001,98.29
175,1.1141901606168503,72.09,98.38
176,1.0913211157688727,72.34,98.41
177,1.1038501823559785,71.89999999999999,98.33
178,1.1115182410448026,72.1,98.22999999999999
179,1.09335838388174,71.92,98.27
180,1.0971587346150324,72.11999999999999,98.29
181,1.0831617994186207,72.6,98.42
182,1.089905579884847,71.95,98.31
183,1.0939027320115995,72.1,98.45
184,1.0960327498423748,71.93,98.22999999999999
185,1.0771312493544358,72.38,98.28
186,1.0868008492848813,72.32,98.16
187,1.0813566729044304,72.6,98.5
188,1.0816826227383736,72.78999999999999,98.38
189,1.0842053492863972,72.37,98.39
190,1.065740019388688,72.66,98.4
191,1.076090092995228,72.39,98.4
192,1.0751543055742214,72.28,98.29
193,1.0701910599684104,72.50999999999999,98.32
194,1.0708301652700474,72.86,98.27
195,1.0727250499603076,73.0,98.32
196,1.073347395964158,72.58,98.36
197,1.0463572615232224,72.67,98.21
198,1.0483921443804716,73.1,98.29
199,1.0562316434505659,72.89999999999999,98.58
200,1.0618864244375474,72.95,98.4
201,1.0530998627344768,72.94,98.49
202,1.051187110100037,73.2,98.33
203,1.0482361928010597,73.37,98.39
204,1.048168154251881,73.07000000000001,98.54
205,1.0344998928216786,72.88,98.44000000000001
206,1.0431890880450225,73.11,98.46000000000001
207,1.0455611374133673,73.09,98.45
208,1.0336595814961653,73.07000000000001,98.4
209,1.0466848714229389,73.46000000000001,98.48
210,1.0377010638897235,73.34,98.5
211,1.0424660999041337,73.00999999999999,98.49
212,1.0336521274004227,73.15,98.48
213,1.028345793332809,73.32,98.39
214,1.0311953283273256,73.54,98.55000000000001
215,1.0329253234924414,73.22,98.46000000000001
216,1.0248050153255464,73.2,98.42
217,1.0257413141238383,73.88,98.50999999999999
